BOORDTABEL FIETSPLAN;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Project;Gem;Lengte;Wat;Kost;Finan-ciering;Belang;Moeilijkheidsgr;Timing studie;svz-studie;Timing werken;Svz- werken;Opmerkingen;Verantw.;;;;
1. Fietspaden/fietssuggestiestroken;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1.1 Bestaande infrastructuur;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Defacqzstraat ;ELS-STG;575;RD;1035;;2;0;06;3;08/1;2009;plannen door DPT, uitvoering DGE;Pedro Dossantos;;;;
Eudore Pirmezlaan;ETT;244;SS;439,2;;1;1;08;1;08;2008;;Tomas Moresi;;;;
Victor Jacobslaan;ETT;393;SS;707,4;;1;1;08;1;08;2008;stukje gescheiden fietspad aan St-Antoon : te deklasseren;Tomas Moresi;;;;
Brugmannlaan-Charleroisesteenweg;STG-UKK-VOR;4030;RD;7254;;2;2;07;1;08;2008;;Roland Warnauts;;;;
Alsembergsesteenweg;STG-UKK-VOR;5350;RD;9630;;1;2;07;1;08/1;2008;;Pedro Dossantos;;;;
Neerstallestraat ;UKK-VOR;1705;SS;3069;;2;0;07;1;08/1;2008;;Pedro Dossantos;;;;
Koningslaan;VOR;850;RD;1530;;2;1;07;1;08;2008;;Pedro Dossantos;;;;
Parklaan;VOR;700;RD;1260;;2;1;07;1;08;2008;;Pedro Dossantos;;;;
Jachtlaan+Keltenlaan;ETT;1085;SS;1953;;2;0;07;1;08;2008;;Tomas Moresi;;;;
Wielemans-Ceuppenslaan;VOR;637;SS;1146,6;;2;1;07;1;08;2008;;Pedro Dossantos;;;;
Hinnisdaellaan ;SPW;465;SS;837;;1;1;08;1;09;2008;;Pedro Dossantos;;;;
Paleizenstraat tussen spoorweg (incl) en Liedts;SCH;540;SS;972;;2;1;07;3;08/1;2008;;Eric Falier;;;;
Notelaarsstraat;SCH;1320;GFP+SS;2376;;2;1;07;1;08/1;2008;;Anne Mougenot;;;;
Landsroemlaan;GAN;1040;BF;1872;;2;1;05;3;voorjaar 2008;2008;;Séverine Burgers;;;;
Jetselaan - eerste stuk zonder tram;JET;400;GFP;;stk;2;1;07;5;voorjaar 2008;2008;samen met oplossing kruispunt,  kan zonder bouwvergunning;Séverine Burgers ;;;;
Flageyplein;ELS;100;;;;3;2;05;6;06-07;2010;GFR MM;Eric Monami;;;;
Galileolaan;BRU;150;GFP;270;;1;1;07/2;1;08/1;2010;Lateraal van Kleine Ring, na asfalteren;Tomas Moresi;;;;
Etterbeeksesteenweg+Livingstone;ETT-BRU;1160;BF;2088;;2;2;05;3;08/1;2008;markeringen zonder BV;Eric Monami;;;;
Louizalaan;BRU;2325;SS;4185;stk;2;1;06;3;08/1;2009;à hauteur du 284, proposition de faire by-pass pour les cyclistes allant tout droit dans les latérales;Sophie Bougard/Pedro Dos Santos;;;;
Haachtsesteenweg tussen Koningsstraat en Houtweg;SJN-SCH;4763;RD;8573,4;;1;1;08;1;09;2009;;Anne Mougenot;;;;
Karreveldlaan;MOL;503;GFP;905,4;;2;1;07;1;08/1;2008;;Tomas Moresi;;;;
de Broquevillelaan;SLW;1300;GFP;2340;;2;;;;;2008;;Christophe Weyrich;;;;
St-Joostplein;SJN;150;BF+GFP;42900;Beliris;2;2;05;5;januari 2008;2007;GFR11;Beliris/Douibi;;;;
Elsensesteenweg tussen Cocq en Flagey;ELS;620;GFP-SS-BF;1116;;2;1;07;af;08;2008;;Tomas Moresi;;;;
Redersplein;BRU;210;GFP;378;;2;1;07;1;08/2;2008;na asfaltering;Anne Mougenot;;;;
Aristide Briandlaan ;AND;230;GFP;414;;2;1;07;af;08;2008;;Anne Mougenot;;;;
Gemeenschappenlaan;EVE;775;BI;213125;;2;2;06;4;mei 2008;2008;tijdelijke markering bestaat;Eric Monami/Marc Demunter;;;;
Vorsterielaan;WAT;1129;SS;2032,2;;1;0;08;1;09;2008;laterale baan, functioneert goed;Roland Warnauts;;;;
Amerikaanse ambassade, Regentlaan;BRU;50;FP;90;;;;;6;2008;2008;zonder BV;Florence Dekoster;;;;
Broustinlaan,  Carton de Wiartlaan;GAN-JET;1000;GFP;1800;;1;1;08;1;09/1;2009;nog geen levé;Tomas Moresi;;;;
Leuvense Steenweg;SJN-SCH;4425;GFP+BF;7965;stk;3;2;07;1,2;eind 2008;2009;eerste fase : B+F tusen Madou en St-Joost eind 2008. Verdere studie tussen St-Joostplein en Gewestgrens;Majid Douibi;;;;
Pantheonlaan;KOE;1037;GFP;1866,6;;2;1;07;af;08/1;2009;;Tomas Moresi;;;;
Munthofstraat ;STG;800;RD;1440;;3;2;07;1;08/1;2009;;Latifa ;;;;
Nijverheidskaai;MOL;540;BI;77220;stk;1;2;05;6;4/2008;2009;GFR 5-opgelet : vanaf Begijnenbrug niks voorzien voor fietsen !;Yvan Libin;;;;
Mariemontkaai;MOL;700;SS;100100;stk;3;2;05;6;4/2008;2009;Bouwvergunning afgeleverd. GFR KC.;Marc Demunter;;;;
Louizaflessenhals;BRU;300;;;;3;3;07;3;maart 2009;2009;voorlopige inrichting zonder vergunning. Probleem fietsers blijft.;Eric Monami;;;;
Van Volxemlaan tot aan Wielemans Ceuppens;VOR;1015;GFP;;stk;2;2;06;6;07/1;2009;"discussie met politie, nieuw plan voor fietssluis WC/Van Volxem; pas dan kunnen markeringen worden aangebracht; ";Marc Demunter;;;;
Kroonlaan Bus + fietsbaan tussen Blyckaerts en Jacques.;ELS;1500;BF;;stk;3;2;06;5;2008/2;2009;OO, OC op 3/10/0, BV op 24/3/08;Ulric Schollaert/Séverine Burgers;;;;
Gentsesteenweg kanaal-zwarte vijvers;MOL;700;GFP;1260;Beliris;2;2;05;3;april 2007;2009;Beliris-werf nog niet af.;Anne Mougenot;;;;
Engelandstraat;UKK;311;SS;88946;;1;2;;;09/1;2009;;Pedro Dossantos;;;;
Van Volxemlaan tussen Wielemans Ceuppens en Brusselse Steenweg;VOR;1160;GFP;;stk;2;1;06;5;voorjaar 2008;2009;markeringsplan;Eric Falier;;;;
Louis Dehouxlaan;OUD;625;FP;89375;stk;2;2;06;6;oktober 2007;2009;GFR 5;Ulric Schollaert;;;;
Edmond Van Nieuwenhuyselaan;OUD;373;FP;106678;;2;2;;6;07;2009;binnen BV gfr 5 (16);Marc Demunter;;;;
Demeylaan;OUD;309;FP;88374;;2;2;af;5;2009;2009;ICR 5;Ulric Schollaert/Marc Demunter;;;;
Totaal 2004-2009;;69349;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Vaartdijk tussen Budabrug en Budasesteenweg;BRU;340;BI;97240;;2;2;;2;2009;2010;"alternatief tracé ICR KC cfr promenade Steenkaai Vilvoorde en opening doorgang door Haven; kan zonder bouwvergunning bij asfalteringswerken";Vincent Reeners/ Ulric Schollaert ?;;;;
Madridlaan;BRU;1240;BI;354640;stk/Beliris ?;1;1;06;4;maart 2009;2010;BV 3 3 2008/Lastenboek uitvoering gepubliceerd 1/9/2008;Ulric Schollaert/Marc Demunter;;;;
Koolmijnenkaai, Henegouwenkaai ;MOL;1230;BI;;;1;;;;2009;2010;ICR Kanaal;Beliris;;;;
Emile De Motlaan;BRU;360;FP+GFP;102960;;2;2;;;2010;2010;cfr Roosevelt;;;;;
Regentlaan;BRU;360;RD;102960;;;;;;;2010;tijdelijke inrichting;;;;;
Britsierslaan ;SCH;100;GFP;180;;0;0;08;1;2010;2010;asfaltering afwachten;Anne Mougenot;;;;
Groene Wandeling-Delta-Kappelleveld;AUD;365;BI;104390;stk;2;2;06;af;07/2;2011;plannen aanpassen aan nieuw project FIAT;Eric Monami;;;;
Vorstlaan tussen HD en Waversesteenweg;AUD;725;BI;207350;;1;;;;maart 2010;2011;;Beliiris;;;;
Gemeenschappenlaan;EVE;360;BF+FP;;;;;;;;2011;;Fabien Stiénon;;;;
Vilvoordsesteenweg (omleiding Carcoke);BRU;1000;BI;;;;;;;;2011;;Haven;;;;
Paepsem - Van Kalcken;AND;300;BF+FP+GFP;;;;;;;;2011;;FDK;;;;
Gentsesteenweg ts Karreveld en Mettewie;MLB;450;SS;;;;;;;;2011;;Fabien Stiénon;;;;
Van Osslaan;BRU;376;FP;107536;;2;2;;;;2011;;Olivier Standaert;;;;
Humaniteitslaan;AND;900;BI;;;;;;;;2012;;BIM/Beliris;;;;
Kruidtuinlaan (buiten studie kleine ring);BRU;450;BI+GFP;;;3;2;05;3;2010;2012;tijdelijke inrichting in afwachting van heraanleg;Ariane Paulus;;;;
Brouwerijstraat;ELS;465;SS;837;;2;1;06;4;2013;2013;;Fabien Stiénon/Ilse Wuyts;;;;
Mettewielaan;MOL;2170;FP;620620;stk;2;2;07;6;2011;2013;gescheiden fietspad + volledige heraanleg. OC 18/7;Ulric Schollaert, Olivier Standaert;;;;
